test_id,subject,expected_experts,predicted_experts,top1_hit,top3_hit,top5_hit,precision_at_3,reciprocal_rank,coverage,approval_proxy,first_relevant_rank,recommended_count,supporting_chunk_count,recognised_outlet,manual_review_required,topic_labels
T014,Need an expert on the UK civil service and public administration reform,professor peter leyland | emeritus professor nicholas sims-williams | dr ret’sepile makamane,Professor Peter Leyland | Professor Emma Crewe | Dr M. Kerem Coban,1,1,1,0.3333,1.0,1,1,1,3,6,False,True,Politics
T015,Need an expert on law and policy concerning the environment and natural resources (in particular water and sanitation,professor philippe cullet | professor thoko kaime | professor lutz oette,Professor Philippe Cullet | Professor Thoko Kaime,1,1,1,0.6667,1.0,1,1,1,2,2,False,True,General
T016,Need an expert on Muslim Family Law in UK and Europe and Family Law,professor samia bano | professor eddie bruce-jones | dr kanika sharma,"Professor Samia Bano | Mr Ian D Edge | Dr Eleanor Newbigin | Professor Muhammad A S Abdel Haleem, OBE",1,1,1,0.3333,1.0,1,1,1,4,6,True,False,General
T017,Need an expert on Humanitarian intervention and post-conflict reconstruction,dr althea-maria rivas | dr tania kaiser | dr sarah njeri,Dr Althea-Maria Rivas | Professor Phil Clark | Dr Sarah Njeri | Dr Mujge Kucukkeles | Dr Tania Kaiser,1,1,1,0.6667,1.0,1,1,1,5,6,True,False,Development | Politics
T018,Need an expert on Refugee protection and livelihoods and housing,dr anna lindley | dr tania kaiser | professor laura hammond,Dr Anna Lindley | Professor Fiona B Adamson | Dr Tania Kaiser,1,1,1,0.6667,1.0,1,1,1,3,4,True,False,Migration
T019,Need an expert on Political economy and Peace,dr folahanmi aina | dr althea-maria rivas | professor zoë marriage,Dr Folahanmi Aina | Professor Christopher Cramer | Dr Althea-Maria Rivas | Professor Jonathan Goodhand | Dr Lorena Lombardozzi,1,1,1,0.6667,1.0,1,1,1,5,5,False,True,Politics
T020,Need an expert on Political ecology and Sustainability and green transformations,dr giuseppina siciliano | dr jon phillips | dr risa morimoto,Dr Giuseppina Siciliano | Dr Annabel de Frece | Dr Chandni Dwarkasing | Dr Jon Phillips | Dr Lisa Tilley,1,1,1,0.3333,1.0,1,1,1,5,5,False,True,Politics
T021,Need an expert on Climate change mitigation and Energy geographies,dr jon phillips | dr giuseppina siciliano | dr ros taplin,Dr Jon Phillips | Dr Giuseppina Siciliano | Dr Risa Morimoto | Dr Harald Heubaum | Professor Thomas Tanner,1,1,1,0.6667,1.0,1,1,1,5,5,True,False,General
T022,Need an expert on Socioecological harm and Political Ecology,dr lisa tilley | professor christopher cramer | professor carlos oya,Dr Lisa Tilley | Dr Giuseppina Siciliano | Dr Annabel de Frece | Professor Shirin Rai | Dr Manuel Garcia Dellacasa,1,1,1,0.3333,1.0,1,1,1,5,5,True,False,Politics
T023,Need an expert on International Political Economy and Development Economics,dr lorena lombardozzi | professor simon roberts | professor antonio andreoni,Dr Lorena Lombardozzi | Professor Antonio Andreoni | Professor Ha-Joon Chang | Dr Vino Kanapathipillai | Dr Fernando Rugitsky,1,1,1,0.6667,1.0,1,1,1,5,5,True,False,Development | Politics
T024,Need an expert on Class relations and its co-constitution with other social relations such as caste and gender,dr manish maskara | dr althea-maria rivas | professor dzodzi tsikata,Dr Manish Maskara,1,1,1,0.3333,1.0,1,1,1,1,1,False,True,Gender
T025,Need an expert on Institutions and international institutions,dr subir sinha | professor naomi hossain | dr touseef mir,Dr Subir Sinha | Dr Annabel de Frece | Dr Alastair Fraser | Dr Giuseppina Siciliano | Dr Linnit Pessoa,1,1,1,0.3333,1.0,1,1,1,5,5,False,True,Development
T026,Need an expert on Forced migration and protracted refugee situations,dr tania kaiser | professor laura hammond | dr althea-maria rivas,Dr Tania Kaiser | Dr Tolga Sinmazdemir | Professor Fiona B Adamson,1,1,1,0.3333,1.0,1,1,1,3,4,True,False,Migration
T027,Need an expert on Labour and Agrarian change,professor carlos oya | professor dzodzi tsikata | professor alessandra mezzadri,Professor Carlos Oya | Professor Christopher Cramer | Professor Dzodzi Tsikata | Professor Alessandra Mezzadri | Dr Fernando Rugitsky,1,1,1,0.6667,1.0,1,1,1,5,5,True,False,Politics
T028,Need an expert on Africa and Ghana,professor dzodzi tsikata | professor carlos oya | dr manish maskara,Professor Dzodzi Tsikata | Dr Nuhu Yidana,1,1,1,0.3333,1.0,1,1,1,2,2,True,False,Africa
T029,Need an expert on Armed conflict & violence and War economies,professor jonathan goodhand | dr althea-maria rivas | dr tania kaiser,Professor Jonathan Goodhand,1,1,1,0.3333,1.0,1,1,1,1,1,False,True,General
T030,"Need an expert on food security, conflict, and displacement in the Horn of Africa",professor laura hammond | dr tania kaiser | professor zoë marriage,Professor Laura Hammond,1,1,1,0.3333,1.0,1,1,1,1,1,False,True,Africa | Migration
T031,Need an expert on Development in Africa and NGOs,professor michael jennings | dr jonathan bashi rudahindwa | professor dzodzi tsikata,Professor Michael Jennings,1,1,1,0.3333,1.0,1,1,1,1,1,True,False,Africa | Religion
T032,Need an expert on Politics of development and Bangladesh,professor naomi hossain | dr subir sinha | dr filippo cervelli,Professor Naomi Hossain | Professor Shirin Rai | Dr Subir Sinha,1,1,1,0.6667,1.0,1,1,1,3,4,True,False,Politics
T033,Need an expert on Conflict and Security,professor zoë marriage | professor laura hammond | dr folahanmi aina,Professor Zoë Marriage | Professor Awino Okech | Dr Folahanmi Aina | Professor Phil Clark | Dr Sutha Nadarajah,1,1,1,0.6667,1.0,1,1,1,5,6,True,False,General
T034,Need an expert on Structural Change and International Trade,dr arnaud persenda | dr linnit pessoa | professor simon roberts,Dr Arnaud Persenda | Dr Linnit Pessoa | Dr Lorena Lombardozzi | Dr Huan Zou | Dr Anisa Muzaffar,1,1,1,0.6667,1.0,1,1,1,5,5,False,True,General
T035,Need an expert on Political economy and Food policy,dr arnold fang | professor lynn welchman | professor ulrich volz,Dr Arnold Fang | Dr Lorena Lombardozzi | Dr Sara Stevano | Professor Christos Pitelis | Dr Sarah El-Kazaz,1,1,1,0.3333,1.0,1,1,1,5,5,False,True,Politics
T036,Need an expert on Venture Capital investment in Africa and Startups development,dr carl adams kopati gbali | professor ciaran driver | professor ben fine,Dr Carl Adams Kopati Gbali,1,1,1,0.3333,1.0,1,1,1,1,1,True,False,Africa
T037,Need an expert on Ecological economics and Classical theories of production,dr chandni dwarkasing | dr giuseppina siciliano | professor ulrich volz,Dr Chandni Dwarkasing | Dr Hannah Bargawi | Dr Yannis Dafermos | Dr Lorena Lombardozzi,1,1,1,0.3333,1.0,1,1,1,4,4,True,False,General
T038,Need an expert on China and globalisation and Industrialisation,dr dic lo | professor ulrich volz | professor ha-joon chang,Dr Dic Lo | Professor Ha-Joon Chang | Dr Frank Maracchione | Professor Mushtaq Khan | Professor Ulrich Volz,1,1,1,0.6667,1.0,1,1,1,5,5,True,False,China
T039,Need an expert on Applied financial econometrics and Climate finance,dr dieter wang | professor duo qin | dr yuen lo,Dr Dieter Wang | Dr Yannis Dafermos | Dr Yuen Lo | Dr Jonathan Acosta Smith | Professor Ulrich Volz,1,1,1,0.6667,1.0,1,1,1,5,5,False,True,Development
T040,Need an expert on Economic development and Macroeconomic and social policies,dr hannah bargawi | professor alessandra mezzadri | dr lorena lombardozzi,Dr Hannah Bargawi | Dr Manuel Garcia Dellacasa | Professor Alessandra Mezzadri | Dr Sara Stevano | Dr Lorena Lombardozzi,1,1,1,0.6667,1.0,1,1,1,5,5,False,True,Development | Politics
T041,Need an expert on Banking and Financial Intermediation,dr jonathan acosta smith | professor jakob thomä | dr risa morimoto,Dr Jonathan Acosta Smith | Dr Dieter Wang | Dr Yuen Lo | Dr Yannis Dafermos | Professor Ulrich Volz,1,1,1,0.3333,1.0,1,1,1,5,5,True,False,Development
T042,Need an expert on Just transition and Sustainable development,dr linnit pessoa | dr arnaud persenda | professor simon roberts,Dr Linnit Pessoa | Dr Giuseppina Siciliano | Dr Arnaud Persenda | Dr Lorena Lombardozzi | Dr Jon Phillips,1,1,1,0.6667,1.0,1,1,1,5,5,True,False,Development
T043,Need an expert on Social protection and welfare institutions in the global south and Informality and labour market policies,dr miguel nino-zarazua | professor massoud karshenas | dr surbhi kesar,Dr Miguel Nino-Zarazua | Dr Surbhi Kesar | Professor Alessandra Mezzadri | Dr Jonathan Di John,1,1,1,0.6667,1.0,1,1,1,4,4,True,False,Development
T044,Need an expert on Middle East and Indebtedness,dr randa alami | professor massoud karshenas | dr thereza balliester reis,Dr Randa Alami | Professor Massoud Karshenas | Dr Rowena Binti Abdul Razak | Dr Mujge Kucukkeles | Dr Seyed Ali Alavi,1,1,1,0.6667,1.0,1,1,1,5,5,False,True,Middle East
T045,Need an expert on Environmental economics and Development economics,dr risa morimoto | dr giuseppina siciliano | dr jon phillips,Dr Risa Morimoto | Dr Giuseppina Siciliano | Dr Lorena Lombardozzi | Dr Dieter Wang | Dr Yannis Dafermos,1,1,1,0.6667,1.0,1,1,1,5,5,False,True,Development
T046,Need an expert on Social reproduction and Intersecting or co-constituted inequalities,dr sara stevano | professor alessandra mezzadri | dr lorena lombardozzi,Dr Sara Stevano | Professor Shirin Rai | Professor Alessandra Mezzadri | Dr Hannah Bargawi,1,1,1,0.6667,1.0,1,1,1,4,6,True,False,General
T047,Need an expert on Financial Inclusion and Over-Indebtedness,dr thereza balliester reis | dr randa alami | dr miguel nino-zarazua,Dr Thereza Balliester Reis | Dr Randa Alami,1,1,1,0.6667,1.0,1,1,1,2,2,True,False,General
T048,Need an expert on Financial macroeconomics and Climate finance,dr yannis dafermos | professor ulrich volz | dr jing zhang,Dr Yannis Dafermos | Dr Dieter Wang | Dr Jonathan Acosta Smith | Professor Ulrich Volz | Dr Yuen Lo,1,1,1,0.3333,1.0,1,1,1,5,5,True,False,Development
T049,Need an expert on Sustainable structural transformation and Industrial policy,professor antonio andreoni | dr ezgi b. unsal | dr anisa muzaffar,Professor Antonio Andreoni | Professor Simon Roberts | Dr Lorena Lombardozzi | Professor Ha-Joon Chang | Dr Ezgi B. Unsal,1,1,1,0.3333,1.0,1,1,1,5,5,False,True,Politics
T050,Need an expert on South Africa and Heterodox Economics,professor ben fine | dr miguel nino-zarazua | dr iris nikolopoulou,Professor Ben Fine,1,1,1,0.3333,1.0,1,1,1,1,1,False,True,Africa
T051,Need an expert on Political economy and Institutions and organizations,professor christos pitelis | professor ciaran driver | professor ulrich volz,Professor Christos Pitelis | Dr Arnold Fang | Dr Vino Kanapathipillai | Professor Ha-Joon Chang | Dr M. Kerem Coban,1,1,1,0.3333,1.0,1,1,1,5,5,True,False,Politics
T052,Need an expert on Principal Investigator and Trajectories of Infrastructure Financing,professor elisa van waeyenberge | professor lynn welchman | professor emma crewe,Professor Elisa Van Waeyenberge | Dr Kate Bayliss,1,1,1,0.3333,1.0,1,1,1,2,2,True,False,General
T053,Need an expert on Industrial policy and Trade policy,professor ha-joon chang | dr dic lo | professor massoud karshenas,Professor Ha-Joon Chang | Professor Antonio Andreoni | Dr Lorena Lombardozzi | Dr Ezgi B. Unsal | Dr Hannah Bargawi,1,1,1,0.3333,1.0,1,1,1,5,5,True,False,Politics
T054,Need an expert on Gender and Employment and Wage Setting Institutions and Inequality,professor massoud karshenas | dr randa alami | dr miguel nino-zarazua,Professor Massoud Karshenas | Dr Randa Alami | Dr Miguel Nino-Zarazua | Dr Sara Stevano,1,1,1,1.0,1.0,1,1,1,4,4,False,True,Middle East | Gender
T055,Need an expert on Sustainable structural transformation and Food systems transformation,professor simon roberts | professor antonio andreoni | dr lorena lombardozzi,Professor Simon Roberts | Professor Antonio Andreoni | Dr Linnit Pessoa,1,1,1,0.6667,1.0,1,1,1,3,3,False,True,General
T056,Need an expert on International Finance and Open Economy Macroeconomics,professor ulrich volz | dr yannis dafermos | dr surbhi kesar,Professor Ulrich Volz | Dr Jonathan Acosta Smith | Dr Yannis Dafermos | Dr Dieter Wang | Dr Sonali Deraniyagala,1,1,1,0.6667,1.0,1,1,1,5,5,True,False,General
T057,Need an expert on Arabic historiography and Islamic archaeology,emeritus professor hugh n kennedy | professor stefan sperl | professor samia bano,Emeritus Professor Hugh N Kennedy | Professor Scott Redford | Dr Simon O'Meara | Professor Stefan Sperl | Dr Seyed Ali Alavi,1,1,1,0.3333,1.0,1,1,1,5,7,True,False,Middle East
T058,Need an expert on Autoethnography and creative-relational inquiry,dr hande çayır | professor samia bano | professor rachel v harrison,Dr Hande Çayır,1,1,1,0.3333,1.0,1,1,1,1,1,True,False,General
T059,Need an expert on Humanitarianism and international development and politics of displacement,dr mujge kucukkeles | dr sophie chamas | professor massoud karshenas,Dr Mujge Kucukkeles | Dr Sutha Nadarajah | Dr Paolo Novak | Dr Althea-Maria Rivas,1,1,1,0.3333,1.0,1,1,1,4,4,False,True,Migration | Development | Politics
T060,"Need an expert on gender, sexuality, and queer performance in contemporary culture",dr sophie chamas | dr mujge kucukkeles | professor massoud karshenas,Dr Sophie Chamas | Dr Ben Murtagh | Dr Natasha Morris,1,1,1,0.3333,1.0,1,1,1,3,4,False,True,Gender
T061,Need an expert on Public policy and management and especially in the political economy of regulation and regulatory reforms,dr alberto asquer | dr m. kerem coban | professor reinhard bachmann,Dr Alberto Asquer | Dr M. Kerem Coban | Professor Christos Pitelis | Dr Vino Kanapathipillai,1,1,1,0.6667,1.0,1,1,1,4,4,True,False,Politics
T062,Need an expert on Green and sustainable finance and ESG,dr hari gopal risal | professor simon roberts | professor jakob thomä,Dr Hari Gopal Risal | Professor Jakob Thomä | Dr Jonathan Acosta Smith | Dr Yannis Dafermos,1,1,1,0.6667,1.0,1,1,1,4,4,True,False,General
T063,Need an expert on International entrepreneurship and sustainable entrepreneurship,dr huan zou | dr risa morimoto | professor lutz oette,Dr Huan Zou | Dr Risa Morimoto | Dr Arnaud Persenda | Dr Dieter Wang | Professor Christos Pitelis,1,1,1,0.6667,1.0,1,1,1,5,5,True,False,Development
T064,"Need an expert on banking regulation, regulatory capital, and financial stability",dr isaiah oino | professor ulrich volz | professor ben fine,Dr Jonathan Acosta Smith | Dr M. Kerem Coban,0,0,0,0.0,0.0,1,0,,2,2,False,True,Politics
T065,Need an expert on Trust and employment protection legislation Jayakody and Shashitha,dr jaideep oberoi | dr helen macnaughtan | professor massoud karshenas,Dr Jaideep Oberoi | Professor Matthew J Nelson,1,1,1,0.3333,1.0,1,1,1,2,3,False,True,General
T066,Need an expert on Comparative public policy and regulatory governance,dr m. kerem coban | dr alberto asquer | professor ciaran driver,Dr M. Kerem Coban | Dr Alberto Asquer | Dr Sarah El-Kazaz | Professor Christos Pitelis | Dr Nimer Sultany,1,1,1,0.6667,1.0,1,1,1,5,5,True,False,Politics
T067,Need an expert on Earnings Management and Executive Compensation,dr muhammad tahir | dr tolulola lawal | dr giuseppina siciliano,Dr Muhammad Tahir | Professor Laixiang Sun | Dr Tolulola Lawal,1,1,1,0.6667,1.0,1,1,1,3,3,True,False,Politics
T068,"Need an expert on comparative politics across China, India, and Israel",dr orly levy | professor hong bo | dr wenwei li,Dr Frank Maracchione | Dr Dic Lo | Dr Sarah El-Kazaz | Dr M. Kerem Coban | Dr Arnold Fang,0,0,0,0.0,0.0,1,0,,5,7,True,False,Middle East | China | Politics
T069,Need an expert on Critical management and critical marketing,dr senija causevic | professor reinhard bachmann | professor chris adcock,Dr Senija Causevic,1,1,1,0.3333,1.0,1,1,1,1,1,False,True,General
T070,Need an expert on Innovation adoption and diffusion and sustainability,dr wenwei li | professor hong bo | professor ciaran driver,Dr Wenwei Li,1,1,1,0.3333,1.0,1,1,1,1,1,False,True,General
T071,Need an expert on innovation and corporate governance,professor ciaran driver | professor christos pitelis | professor hong bo,Professor Ciaran Driver | Professor Laixiang Sun | Dr Muhammad Tahir | Dr Tolulola Lawal,1,1,1,0.3333,1.0,1,1,1,4,4,True,False,Politics
T072,Need an expert on Mega Trends in Global Finance and Inclusive Finance,professor victor murinde | professor ulrich volz | professor massoud karshenas,Professor Victor Murinde | Professor Ulrich Volz | Dr Harald Heubaum,1,1,1,0.6667,1.0,1,1,1,3,3,True,False,General
T073,Need an expert on Minimalism and Construction Grammar,dr aicha belkadi | emeritus professor irina nikolaeva | professor lutz marten,Dr Aicha Belkadi,1,1,1,0.3333,1.0,1,1,1,1,1,True,False,General
T074,Need an expert on Cognitive Linguistics and Applied Cognitive Linguistics,dr akiko furukawa | professor lutz marten | emeritus professor anne pauwels,Dr Akiko Furukawa | Dr Seiko Harumi | Dr Barbara Pizziconi | Dr Frank Maracchione,1,1,1,0.3333,1.0,1,1,1,4,4,False,True,General
T075,Need an expert on transnational Malay identity and cultural revival such as Malay kingdoms,dr alan darmawan | professor lutz marten | dr mulaika hijjas,Dr Alan Darmawan | Dr Carlo Bonura | Dr Mulaika Hijjas,1,1,1,0.6667,1.0,1,1,1,3,4,False,True,Religion
T076,Need an expert on South Asian literature and film and translation,dr anandi rao | dr ben murtagh | professor rachel dwyer,Dr Anandi Rao | Dr Rahul Rao | Dr Maddalena Italia | Dr Cristina Martinez-Juan | Professor Rachel V Harrison,1,1,1,0.3333,1.0,1,1,1,5,5,True,False,Gender
T077,Need an expert on Modern Indonesian cinema and literature and Queer studies and sexuality in Indonesia,dr ben murtagh | dr anandi rao | professor rachel dwyer,Dr Ben Murtagh | Dr Mulaika Hijjas | Dr Anandi Rao | Dr Dana Healy | Dr Cristina Martinez-Juan,1,1,1,0.6667,1.0,1,1,1,5,5,True,False,Gender
T078,"Need an expert on Hausa translation, media gatekeeping, and language infrastructure",dr carmen mccain | professor chege githiora | emeritus professor louis brenner,Dr Carmen McCain,1,1,1,0.3333,1.0,1,1,1,1,3,True,False,Politics
T079,Need an expert on emphasizing how class and gender,dr christopher gerteis | dr helen macnaughtan | dr cristina martinez-juan,Dr Christopher Gerteis | Dr Ulas Ince | Dr Kerem Nisancioglu,1,1,1,0.3333,1.0,1,1,1,3,7,False,True,Gender
T080,Need an expert on Philippine Post-colonial and Comparative Literature Studies and British Occupation of Manila,dr cristina martinez-juan | professor eddie bruce-jones | emeritus professor anne pauwels,Dr Cristina Martinez-Juan | Dr Anandi Rao | Dr Dana Healy | Dr Grace Koh | Professor Stefan Sperl,1,1,1,0.3333,1.0,1,1,1,5,5,False,True,General
T081,Need an expert on Modern Vietnamese literature and Modern Vietnamese cultural studies (literature,dr dana healy | professor rachel v harrison | professor rachel dwyer,Dr Dana Healy | Dr Anandi Rao | Professor Rachel V Harrison | Dr Ben Murtagh | Dr Filippo Cervelli,1,1,1,0.6667,1.0,1,1,1,5,5,True,False,Gender
T082,Need an expert on Modern and contemporary Japanese literature and society and popular culture (manga,dr filippo cervelli | professor lutz marten | dr youkyung ju-zaveroni,Dr Filippo Cervelli | Dr Christopher Gerteis | Dr Dana Healy,1,1,1,0.3333,1.0,1,1,1,3,5,True,False,General
T083,Need an expert on Korean and East Asian literary traditions (prose and fiction and literary and intellectual history,dr grace koh | professor ulrich volz | dr dic lo,Dr Grace Koh,1,1,1,0.3333,1.0,1,1,1,1,1,True,False,General
T084,Need an expert on Sanskrit language and literature and Modern reception and translation of Sanskrit texts,dr maddalena italia | professor nana sato-rossberg | professor chege githiora,Dr Maddalena Italia | Dr Anandi Rao | Dr Renate Söhnen-Thieme,1,1,1,0.3333,1.0,1,1,1,3,3,False,True,General
T085,Need an expert on Classical and Modern Arabic Literature and Poetics and Egyptian and Arabic Cinemas,dr marlé hammond | professor stefan sperl | professor bruce ingham,Dr Marlé Hammond | Dr Helen Blatherwick | Professor Stefan Sperl,1,1,1,0.6667,1.0,1,1,1,3,3,False,True,Gender
T086,Need an expert on Descriptive grammar and syntactic theory and information structure,dr melanie green | dr carmen mccain | dr aicha belkadi,Dr Melanie Green | Dr Aicha Belkadi | Emeritus Professor Irina Nikolaeva | Professor Lutz Marten,1,1,1,0.6667,1.0,1,1,1,4,4,True,False,General
T087,Need an expert on The Malay manuscript tradition and Islam in South East Asia,dr mulaika hijjas | dr alan darmawan | dr kanika sharma,Dr Mulaika Hijjas | Dr Jessica Rahardjo | Dr Alan Darmawan | Dr Ben Murtagh | Dr Roy Fischel,1,1,1,0.6667,1.0,1,1,1,5,5,True,False,Religion | Gender
T088,Need an expert on Oxford University Press and in One World Anthology of Stories,dr ret’sepile makamane | emeritus professor nicholas sims-williams | professor peter leyland,Dr Ret’sepile Makamane,1,1,1,0.3333,1.0,1,1,1,1,2,True,False,General
T089,Need an expert on Classroom discourse and Classroom silence,dr seiko harumi | dr youkyung ju-zaveroni | dr song lianyi,Dr Seiko Harumi,1,1,1,0.3333,1.0,1,1,1,1,1,False,True,General
T090,Need an expert on Sociolinguistics and African languages and cultures,dr seraphin kamdem | professor chege githiora | emeritus professor louis brenner,Dr Seraphin Kamdem | Professor Chege Githiora | Professor Lutz Marten | Professor Julia Sallabank | Emeritus Professor Anne Pauwels,1,1,1,0.6667,1.0,1,1,1,5,5,False,True,General
T091,Need an expert on Middle East Studies and Iranian Studies,dr seyed ali alavi | dr mulaika hijjas | professor massoud karshenas,Dr Seyed Ali Alavi | Dr Hengameh Ziai | Dr Saeid Kordmafi | Professor Stefan Sperl | Dr Moataz El Fegiery,1,1,1,0.3333,1.0,1,1,1,5,5,True,False,Middle East
T092,"Need an expert on Indonesian literature, gender, and sexuality",dr soe tjen marching | emeritus professor nicholas sims-williams | professor peter leyland,Dr Ben Murtagh | Dr Anandi Rao | Professor Rachel V Harrison | Dr Mulaika Hijjas | Dr Dana Healy,0,0,0,0.0,0.0,1,0,,5,5,True,False,Gender
T093,Need an expert on language and public understanding of Covid-19,"dr yan jiang 蔣嚴 蒋严 | professor muhammad a s abdel haleem, obe | emeritus professor nicholas sims-williams",Dr Yan JIANG 蔣嚴 蒋严 | Professor Lutz Marten,1,1,1,0.3333,1.0,1,1,1,2,3,True,False,General
T094,Need an expert on early Ottoman literature and language,dr yorgos dedes | dr renate söhnen-thieme | dr mustafa shah,Dr Yorgos Dedes | Professor Scott Redford,1,1,1,0.3333,1.0,1,1,1,2,4,False,True,General
T095,"Need an expert on multilingualism, language policy, and education",emeritus professor anne pauwels | professor lutz marten | professor chege githiora,Emeritus Professor Anne Pauwels | Dr Frank Maracchione,1,1,1,0.3333,1.0,1,1,1,2,3,False,True,General
T096,Need an expert on Syriac philology and translation,emeritus professor nicholas sims-williams | dr soe tjen marching | dr ret’sepile makamane,Emeritus Professor Nicholas Sims-Williams,1,1,1,0.3333,1.0,1,1,1,1,2,True,False,General
T097,Need an expert on African linguistics and multilingualism and language policy,professor chege githiora | professor nana sato-rossberg | emeritus professor anne pauwels,Professor Chege Githiora | Dr Seraphin Kamdem | Professor Lutz Marten | Emeritus Professor Anne Pauwels | Professor Julia Sallabank,1,1,1,0.3333,1.0,1,1,1,5,5,True,False,General
T098,Need an expert on comparative and historical linguistics,professor lutz marten | dr christopher lucas | emeritus professor irina nikolaeva,Professor Lutz Marten | Dr Christopher Lucas | Dr Frank Maracchione,1,1,1,0.6667,1.0,1,1,1,3,3,True,False,General
T099,Need an expert on The Qur'an: language and style and translations in English,"professor muhammad a s abdel haleem, obe | professor samia bano | professor stefan sperl","Professor Muhammad A S Abdel Haleem, OBE | Mr Ian D Edge | Professor Samia Bano",1,1,1,0.6667,1.0,1,1,1,3,4,False,True,Religion
T100,Need an expert on Arabic Literature Classical and Modern and Comparative Literature,professor stefan sperl | dr mustafa shah | emeritus professor hugh n kennedy,Professor Stefan Sperl | Dr Helen Blatherwick | Dr Marlé Hammond | Dr Mustafa Shah | Dr Grace Koh,1,1,1,0.3333,1.0,1,1,1,5,5,False,True,General
